id,titulo,fecha_inicio,formato,estado,episodios,duracion,generos,estudios,calificacion,popularidad,favoritos
180742,Fate/Grand Order: Haishin 5 Shuunen Kinen Animation PV,2020-08-10,SPECIAL,FINISHED,1.0,2.0,Comedy|Fantasy,A-1 Pictures,61.0,427,4
137803,Renzhe Bixu Si: Yue Hu Zhi Zhan,2020-08-10,ONA,FINISHED,1.0,5.0,Action|Fantasy,HuaMei Animation,,42,0
130379,Kimi to Boku no Resonance,2020-08-08,MUSIC,FINISHED,1.0,4.0,,,,141,1
121684,Kyoshin to Hyouka no Shiro,2020-08-08,ONA,FINISHED,4.0,1.0,Drama|Mystery|Supernatural,TriF studio,53.0,1579,8
136532,Natsu wo Ikiru,2020-08-07,MUSIC,FINISHED,1.0,4.0,,,52.0,181,0
123746,Hukakumei Zenya,2020-08-07,MUSIC,FINISHED,1.0,4.0,,,57.0,199,10
113669,Doraemon: Nobita no Shin Kyoryuu,2020-08-07,MOVIE,FINISHED,1.0,110.0,Adventure|Comedy|Sci-Fi,Shin-Ei Animation,74.0,2469,52
113023,Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,2020-08-07,MOVIE,FINISHED,1.0,119.0,Action|Drama|Music,Kinema Citrus,76.0,5801,100
110699,Mindiao Ju Yi Wen Lu,2020-08-07,ONA,FINISHED,12.0,24.0,Action|Supernatural|Thriller,B.CMAY PICTURES,60.0,2871,49
124243,Miao Qiansui de Chengnian Li,2020-08-06,ONA,FINISHED,7.0,2.0,Adventure,,,120,0
120126,Lie Yang Tiandao,2020-08-06,ONA,FINISHED,1.0,,Action|Fantasy,Sparkly Key Animation|Transcendence Picture,,159,5
136866,DERO,2020-08-05,MUSIC,FINISHED,1.0,3.0,,,51.0,184,3
120046,Ani ni Tsukeru Kusuri wa Nai! 4,2020-08-05,ONA,FINISHED,12.0,4.0,Comedy|Slice of Life,Fanworks|Imagineer|Planet Cartoon,74.0,9334,105
129227,Renwu Dashi,2020-08-03,ONA,FINISHED,6.0,13.0,Action|Adventure|Fantasy,1IN,,113,0
169772,Matatabi Movie Labo,2020-08-01,ONA,FINISHED,13.0,10.0,Comedy,,,49,0
140881,Neputa no Mondoriko,2020-08-01,MUSIC,FINISHED,1.0,3.0,Horror,,,65,0
138401,Carol (Music),2020-08-01,MUSIC,FINISHED,1.0,4.0,,,56.0,300,4
131781,Zhiqu Yang Xuetang: Yangyang Qu Maoxian,2020-08-01,ONA,FINISHED,26.0,12.0,Adventure|Comedy,,,51,0
126172,Never Giving Up!,2020-08-01,MUSIC,FINISHED,1.0,4.0,,,62.0,1044,3
124698,Ekaki Uta,2020-08-01,MUSIC,FINISHED,1.0,3.0,,,59.0,450,8
139140,Mushi no Tsubuyaki,,MUSIC,FINISHED,1.0,2.0,,,,87,0
131367,Jintai no Survival!,2020-07-31,MOVIE,FINISHED,1.0,46.0,Action|Comedy,Studio Gallop|Toei Animation,,325,2
120343,Modao Zushi Q,2020-07-31,ONA,FINISHED,30.0,5.0,Comedy|Fantasy|Supernatural,B.CMAY PICTURES,81.0,7383,281
120300,Ling Long Part 2,2020-07-31,ONA,FINISHED,6.0,30.0,Action|Drama|Horror|Mecha|Mystery|Sci-Fi|Thriller,YHKT Entertainment,73.0,1295,37
118166,Isekai Harem Monogatari,2020-07-31,OVA,FINISHED,4.0,17.0,Fantasy|Hentai,Majin petit,71.0,8928,418
117773,Kohakuiro no Hunter THE ANIMATION,2020-07-31,OVA,FINISHED,2.0,30.0,Fantasy|Hentai,Seven,58.0,2716,94
117761,Natsu ga Owaru made The Animation,2020-07-31,OVA,FINISHED,2.0,18.0,Hentai,BREAKBOTTLE,59.0,2840,107
