estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
GYORAI EIZOU,6,5,56.0,54.0,8.15,48.0,66.0,1.0,5.17,542.83,3257,5.17,31
Rabbit Gate,5,5,62.0,62.0,4.3,55.0,66.0,5.6,11.4,2583.6,12918,82.8,414
S.o.K,5,5,56.6,55.0,9.56,46.0,71.0,3.2,11.0,4479.6,22398,94.2,471
Production +h,5,5,67.8,70.0,11.19,49.0,78.0,5.4,61.0,16858.6,84293,292.6,1463
Qingxiang,5,4,65.25,66.0,3.4,61.0,68.0,39.0,18.0,764.2,3821,32.4,162
Queen Bee,5,5,57.0,58.0,6.0,48.0,64.0,2.5,20.0,1474.2,7371,46.0,230
STEREOTYPE Inc.,5,4,64.5,63.0,10.79,53.0,79.0,1.0,4.4,803.6,4018,17.2,86
Pili International Multimedia,5,5,72.4,72.0,8.02,60.0,80.0,5.6,46.8,1335.2,6676,43.6,218
DC Impression Vision,5,4,66.5,70.5,10.54,51.0,74.0,13.6,20.8,782.8,3914,39.0,195
Painted Edge,5,2,52.5,52.5,0.71,52.0,53.0,16.8,14.0,327.2,1636,4.2,21
Colored Pencil Animation Japan,5,5,71.2,69.0,3.77,68.0,77.0,10.4,16.0,17832.0,89160,358.2,1791
Sharefun Studio,5,4,82.0,82.0,0.82,81.0,83.0,10.0,14.0,16837.2,84186,507.0,2535
CMC Media,5,5,73.6,71.0,10.62,61.0,86.0,10.8,22.6,20779.2,103896,897.2,4486
Studio Anima,5,5,66.4,68.0,5.27,61.0,73.0,5.0,69.6,5099.2,25496,65.2,326
Studio Blanc,5,5,65.8,62.0,6.94,60.0,76.0,12.4,24.0,50230.0,251150,1075.4,5377
Bomb! Cute! Bomb!,5,5,53.6,52.0,7.33,45.0,65.0,1.8,16.0,1337.8,6689,41.8,209
Mili Pictures,5,4,63.25,66.0,6.95,53.0,68.0,20.4,18.0,516.0,2580,15.6,78
Millepensee,5,5,68.2,69.0,3.27,63.0,72.0,12.4,28.6,75164.2,375821,1831.2,9156
CALF,5,5,59.4,57.0,9.56,53.0,76.0,1.0,6.4,678.0,3390,10.4,52
Studio Flad,5,5,66.0,68.0,5.05,57.0,69.0,11.8,23.8,49539.2,247696,768.4,3842
Studio Ghibli,5,4,60.0,56.0,11.69,51.0,77.0,1.0,44.8,15863.4,79317,347.4,1737
WolfsBane,5,5,55.6,53.0,7.64,48.0,68.0,12.2,12.8,49529.0,247645,755.2,3776
Xiaoming Taiji,5,4,61.75,62.0,4.43,57.0,66.0,45.0,16.6,476.6,2383,20.4,102
